index,type,start_time,duration
0,CL,0,500
1,QC,500,500000
2,QC,500500,500000
3,QL,1000500,202000
4,CC,1202500,100000
5,QL,1302500,20000
6,CL,1322500,500
7,CC,1323000,100000
8,QL,1423000,20000
9,CL,1443000,1000
10,CL,500,500
11,QC,1443000,500000
12,QC,1943000,500000
13,QL,2443000,202000
14,CC,2645000,100000
15,QL,2745000,20000
16,CL,2765000,500
17,CC,2765500,100000
18,QL,2865500,20000
19,CL,2885500,1000
20,CL,1423000,500
21,QC,2885500,500000
22,QC,3385500,500000
23,QL,3885500,202000
24,CC,4087500,100000
25,QL,4187500,20000
26,CL,4207500,500
27,CC,4208000,100000
28,QL,4308000,20000
29,CL,4328000,1000
30,CL,2865500,500
31,QC,4328000,500000
32,QC,4828000,500000
33,QL,5328000,202000
34,CC,5530000,100000
35,QL,5630000,20000
36,CL,5650000,500
37,CC,5650500,100000
38,QL,5750500,20000
39,CL,5770500,1000
40,CL,4308000,500
41,QC,5770500,500000
42,QC,6270500,500000
43,QL,6770500,202000
44,CC,6972500,100000
45,QL,7072500,20000
46,CL,7092500,500
47,CC,7093000,100000
48,QL,7193000,20000
49,CL,7213000,1000
50,CL,5750500,500
51,QC,7213000,500000
52,QC,7713000,500000
53,QL,8213000,202000
54,CC,8415000,100000
55,QL,8515000,20000
56,CL,8535000,500
57,CC,8535500,100000
58,QL,8635500,20000
59,CL,8655500,1000
60,CL,7193000,500
61,QC,8655500,500000
62,QC,9155500,500000
63,QL,9655500,202000
64,CC,9857500,100000
65,QL,9957500,20000
66,CL,9977500,500
67,CC,9978000,100000
68,QL,10078000,20000
69,CL,10098000,1000
70,CL,8635500,500
71,QC,10098000,500000
72,QC,10598000,500000
73,QL,11098000,202000
74,CC,11300000,100000
75,QL,11400000,20000
76,CL,11420000,500
77,CC,11420500,100000
78,QL,11520500,20000
79,CL,11540500,1000
80,CL,10078000,500
81,QC,11540500,500000
82,QC,12040500,500000
83,QL,12540500,202000
84,CC,12742500,100000
85,QL,12842500,20000
86,CL,12862500,500
87,CC,12863000,100000
88,QL,12963000,20000
89,CL,12983000,1000
90,CL,11520500,500
91,QC,12983000,500000
92,QC,13483000,500000
93,QL,13983000,202000
94,CC,14185000,100000
95,QL,14285000,20000
96,CL,14305000,500
97,CC,14305500,100000
98,QL,14405500,20000
99,CL,14425500,1000
100,CL,12963000,500
101,QC,14425500,500000
102,QC,14925500,500000
103,QL,15425500,202000
104,CC,15627500,100000
105,QL,15727500,20000
106,CL,15747500,500
107,CC,15748000,100000
108,QL,15848000,20000
109,CL,15868000,1000
110,CL,14405500,500
111,QC,15868000,500000
112,QC,16368000,500000
113,QL,16868000,202000
114,CC,17070000,100000
115,QL,17170000,20000
116,CL,17190000,500
117,CC,17190500,100000
118,QL,17290500,20000
119,CL,17310500,1000
120,CL,15848000,500
121,QC,17310500,500000
122,QC,17810500,500000
123,QL,18310500,202000
124,CC,18512500,100000
125,QL,18612500,20000
126,CL,18632500,500
127,CC,18633000,100000
128,QL,18733000,20000
129,CL,18753000,1000
130,CL,17290500,500
131,QC,18753000,500000
132,QC,19253000,500000
133,QL,19753000,202000
134,CC,19955000,100000
135,QL,20055000,20000
136,CL,20075000,500
137,CC,20075500,100000
138,QL,20175500,20000
139,CL,20195500,1000
140,CL,18733000,500
141,QC,20195500,500000
142,QC,20695500,500000
143,QL,21195500,202000
144,CC,21397500,100000
145,QL,21497500,20000
146,CL,21517500,500
147,CC,21518000,100000
148,QL,21618000,20000
149,CL,21638000,1000
150,CL,20175500,500
151,QC,21638000,500000
152,QC,22138000,500000
153,QL,22638000,202000
154,CC,22840000,100000
155,QL,22940000,20000
156,CL,22960000,500
157,CC,22960500,100000
158,QL,23060500,20000
159,CL,23080500,1000
160,CL,21618000,500
161,QC,23080500,500000
162,QC,23580500,500000
163,QL,24080500,202000
164,CC,24282500,100000
165,QL,24382500,20000
166,CL,24402500,500
167,CC,24403000,100000
168,QL,24503000,20000
169,CL,24523000,1000
170,CL,23060500,500
171,QC,24523000,500000
172,QC,25023000,500000
173,QL,25523000,202000
174,CC,25725000,100000
175,QL,25825000,20000
176,CL,25845000,500
177,CC,25845500,100000
178,QL,25945500,20000
179,CL,25965500,1000
