index,type,start_time,duration
0,CL,0,500
1,QC,500,500000
2,QL,500500,15000
3,QC,515500,500000
4,QL,1015500,15000
5,QC,1030500,500000
6,QL,1530500,15000
7,QC,1545500,500000
8,QL,2045500,15000
9,QC,2060500,500000
10,QL,2560500,15000
11,CL,2575500,2500
12,CC,2578000,100000
13,CC,2678000,100000
14,CC,2778000,100000
15,CC,2878000,100000
16,CC,2978000,100000
17,CL,3078000,5000
18,CL,500,500
19,QC,2575500,500000
20,QL,3075500,15000
21,QC,3090500,500000
22,QL,3590500,15000
23,QC,3605500,500000
24,QL,4105500,15000
25,QC,4120500,500000
26,QL,4620500,15000
27,QC,4635500,500000
28,QL,5135500,15000
29,CL,5150500,2500
30,CC,5153000,100000
31,CC,5253000,100000
32,CC,5353000,100000
33,CC,5453000,100000
34,CC,5553000,100000
35,CL,5653000,5000
36,CL,1000,500
37,QC,5150500,500000
38,QL,5650500,15000
39,QC,5665500,500000
40,QL,6165500,15000
41,QC,6180500,500000
42,QL,6680500,15000
43,QC,6695500,500000
44,QL,7195500,15000
45,QC,7210500,500000
46,QL,7710500,15000
47,CL,7725500,2500
48,CC,7728000,100000
49,CC,7828000,100000
50,CC,7928000,100000
51,CC,8028000,100000
52,CC,8128000,100000
53,CL,8228000,5000
54,CL,1500,500
55,QC,7725500,500000
56,QL,8225500,15000
57,QC,8240500,500000
58,QL,8740500,15000
59,QC,8755500,500000
60,QL,9255500,15000
61,QC,9270500,500000
62,QL,9770500,15000
63,QC,9785500,500000
64,QL,10285500,15000
65,CL,10300500,2500
66,CC,10303000,100000
67,CC,10403000,100000
68,CC,10503000,100000
69,CC,10603000,100000
70,CC,10703000,100000
71,CL,10803000,5000
72,CL,2000,500
73,QC,10300500,500000
74,QL,10800500,15000
75,QC,10815500,500000
76,QL,11315500,15000
77,QC,11330500,500000
78,QL,11830500,15000
79,QC,11845500,500000
80,QL,12345500,15000
81,QC,12360500,500000
82,QL,12860500,15000
83,CL,12875500,2500
84,CC,12878000,100000
85,CC,12978000,100000
86,CC,13078000,100000
87,CC,13178000,100000
88,CC,13278000,100000
89,CL,13378000,5000
90,CL,2500,500
91,QC,12875500,500000
92,QL,13375500,15000
93,QC,13390500,500000
94,QL,13890500,15000
95,QC,13905500,500000
96,QL,14405500,15000
97,QC,14420500,500000
98,QL,14920500,15000
99,QC,14935500,500000
100,QL,15435500,15000
101,CL,15450500,2500
102,CC,15453000,100000
103,CC,15553000,100000
104,CC,15653000,100000
105,CC,15753000,100000
106,CC,15853000,100000
107,CL,15953000,5000
108,CL,3000,500
109,QC,15450500,500000
110,QL,15950500,15000
111,QC,15965500,500000
112,QL,16465500,15000
113,QC,16480500,500000
114,QL,16980500,15000
115,QC,16995500,500000
116,QL,17495500,15000
117,QC,17510500,500000
118,QL,18010500,15000
119,CL,18025500,2500
120,CC,18028000,100000
121,CC,18128000,100000
122,CC,18228000,100000
123,CC,18328000,100000
124,CC,18428000,100000
125,CL,18528000,5000
126,CL,1108000,500
127,QC,18025500,500000
128,QL,18525500,15000
129,QC,18540500,500000
130,QL,19040500,15000
131,QC,19055500,500000
132,QL,19555500,15000
133,QC,19570500,500000
134,QL,20070500,15000
135,QC,20085500,500000
136,QL,20585500,15000
137,CL,20600500,2500
138,CC,20603000,100000
139,CC,20703000,100000
140,CC,20803000,100000
141,CC,20903000,100000
142,CC,21003000,100000
143,CL,21103000,5000
144,CL,3683000,500
145,QC,20600500,500000
146,QL,21100500,15000
147,QC,21115500,500000
148,QL,21615500,15000
149,QC,21630500,500000
150,QL,22130500,15000
151,QC,22145500,500000
152,QL,22645500,15000
153,QC,22660500,500000
154,QL,23160500,15000
155,CL,23175500,2500
156,CC,23178000,100000
157,CC,23278000,100000
158,CC,23378000,100000
159,CC,23478000,100000
160,CC,23578000,100000
161,CL,23678000,5000
162,CL,6258000,500
163,QC,23175500,500000
164,QL,23675500,15000
165,QC,23690500,500000
166,QL,24190500,15000
167,QC,24205500,500000
168,QL,24705500,15000
169,QC,24720500,500000
170,QL,25220500,15000
171,QC,25235500,500000
172,QL,25735500,15000
173,CL,25750500,2500
174,CC,25753000,100000
175,CC,25853000,100000
176,CC,25953000,100000
177,CC,26053000,100000
178,CC,26153000,100000
179,CL,26253000,5000
180,CL,8833000,500
181,QC,25750500,500000
182,QL,26250500,15000
183,QC,26265500,500000
184,QL,26765500,15000
185,QC,26780500,500000
186,QL,27280500,15000
187,QC,27295500,500000
188,QL,27795500,15000
189,QC,27810500,500000
190,QL,28310500,15000
191,CL,28325500,2500
192,CC,28328000,100000
193,CC,28428000,100000
194,CC,28528000,100000
195,CC,28628000,100000
196,CC,28728000,100000
197,CL,28828000,5000
198,CL,11408000,500
199,QC,28325500,500000
200,QL,28825500,15000
201,QC,28840500,500000
202,QL,29340500,15000
203,QC,29355500,500000
204,QL,29855500,15000
205,QC,29870500,500000
206,QL,30370500,15000
207,QC,30385500,500000
208,QL,30885500,15000
209,CL,30900500,2500
210,CC,30903000,100000
211,CC,31003000,100000
212,CC,31103000,100000
213,CC,31203000,100000
214,CC,31303000,100000
215,CL,31403000,5000
216,CL,13983000,500
217,QC,30900500,500000
218,QL,31400500,15000
219,QC,31415500,500000
220,QL,31915500,15000
221,QC,31930500,500000
222,QL,32430500,15000
223,QC,32445500,500000
224,QL,32945500,15000
225,QC,32960500,500000
226,QL,33460500,15000
227,CL,33475500,2500
228,CC,33478000,100000
229,CC,33578000,100000
230,CC,33678000,100000
231,CC,33778000,100000
232,CC,33878000,100000
233,CL,33978000,5000
234,CL,16558000,500
235,QC,33475500,500000
236,QL,33975500,15000
237,QC,33990500,500000
238,QL,34490500,15000
239,QC,34505500,500000
240,QL,35005500,15000
241,QC,35020500,500000
242,QL,35520500,15000
243,QC,35535500,500000
244,QL,36035500,15000
245,CL,36050500,2500
246,CC,36053000,100000
247,CC,36153000,100000
248,CC,36253000,100000
249,CC,36353000,100000
250,CC,36453000,100000
251,CL,36553000,5000
252,CL,19133000,500
253,QC,36050500,500000
254,QL,36550500,15000
255,QC,36565500,500000
256,QL,37065500,15000
257,QC,37080500,500000
258,QL,37580500,15000
