index,type,start_time,duration
0,CL,0,500
1,QC,500,500000
2,QL,500500,20000
3,QC,520500,500000
4,QL,1020500,20000
5,CL,1040500,2500
6,CC,1043000,100000
7,CL,1143000,4000
8,CL,500,500
9,QC,1040500,500000
10,QL,1540500,20000
11,QC,1560500,500000
12,QL,2060500,20000
13,CL,2080500,2500
14,CC,2083000,100000
15,CL,2183000,4000
16,CL,227000,500
17,QC,2080500,500000
18,QL,2580500,20000
19,QC,2600500,500000
20,QL,3100500,20000
21,CL,3120500,2500
22,CC,3123000,100000
23,CL,3223000,4000
24,CL,1267000,500
25,QC,3120500,500000
26,QL,3620500,20000
27,QC,3640500,500000
28,QL,4140500,20000
29,CL,4160500,2500
30,CC,4163000,100000
31,CL,4263000,4000
32,CL,2307000,500
33,QC,4160500,500000
34,QL,4660500,20000
35,QC,4680500,500000
36,QL,5180500,20000
37,CL,5200500,2500
38,CC,5203000,100000
39,CL,5303000,4000
40,CL,3347000,500
41,QC,5200500,500000
42,QL,5700500,20000
43,QC,5720500,500000
44,QL,6220500,20000
45,CL,6240500,2500
46,CC,6243000,100000
47,CL,6343000,4000
48,CL,4387000,500
49,QC,6240500,500000
50,QL,6740500,20000
51,QC,6760500,500000
52,QL,7260500,20000
53,CL,7280500,2500
54,CC,7283000,100000
55,CL,7383000,4000
56,CL,5427000,500
57,QC,7280500,500000
58,QL,7780500,20000
59,QC,7800500,500000
60,QL,8300500,20000
61,CL,8320500,2500
62,CC,8323000,100000
63,CL,8423000,4000
64,CL,6467000,500
65,QC,8320500,500000
66,QL,8820500,20000
67,QC,8840500,500000
68,QL,9340500,20000
69,CL,9360500,2500
70,CC,9363000,100000
71,CL,9463000,4000
72,CL,9321000,500
73,QL,9360500,11000
74,QC,9371500,500000
75,QL,9871500,221000
76,CL,10092500,1000
77,QC,10093500,500000
78,CC,10593500,100000
79,CC,10693500,100000
80,QL,10793500,19000
81,QL,10812500,8000
82,CL,10820500,500
83,CL,10793500,500
84,QL,10820500,11000
85,QC,10831500,500000
86,QL,11331500,221000
87,CL,11552500,1000
88,QC,11553500,500000
89,CC,12053500,100000
90,CC,12153500,100000
91,QL,12253500,19000
92,QL,12272500,8000
93,CL,12280500,500
94,CL,12253500,500
95,QL,12280500,11000
96,QC,12291500,500000
97,QL,12791500,221000
98,CL,13012500,1000
99,QC,13013500,500000
100,CC,13513500,100000
101,CC,13613500,100000
102,QL,13713500,19000
103,QL,13732500,8000
104,CL,13740500,500
105,CL,13713500,500
106,QL,13740500,11000
107,QC,13751500,500000
108,QL,14251500,221000
109,CL,14472500,1000
110,QC,14473500,500000
111,CC,14973500,100000
112,CC,15073500,100000
113,QL,15173500,19000
114,QL,15192500,8000
115,CL,15200500,500
116,CL,15173500,500
117,QL,15200500,11000
118,QC,15211500,500000
119,QL,15711500,221000
120,CL,15932500,1000
121,QC,15933500,500000
122,CC,16433500,100000
123,CC,16533500,100000
124,QL,16633500,19000
125,QL,16652500,8000
126,CL,16660500,500
127,CL,16633500,500
128,QL,16660500,11000
129,QC,16671500,500000
130,QL,17171500,221000
131,CL,17392500,1000
132,QC,17393500,500000
133,CC,17893500,100000
134,CC,17993500,100000
135,QL,18093500,19000
136,QL,18112500,8000
137,CL,18120500,500
138,CL,18093500,500
139,QL,18120500,11000
140,QC,18131500,500000
141,QL,18631500,221000
142,CL,18852500,1000
143,QC,18853500,500000
144,CC,19353500,100000
145,CC,19453500,100000
146,QL,19553500,19000
147,QL,19572500,8000
148,CL,19580500,500
149,CL,19553500,500
150,QL,19580500,11000
151,QC,19591500,500000
152,QL,20091500,221000
153,CL,20312500,1000
154,QC,20313500,500000
155,CC,20813500,100000
156,CC,20913500,100000
157,QL,21013500,19000
158,QL,21032500,8000
159,CL,21040500,500
160,CL,21013500,500
161,QL,21040500,11000
162,QC,21051500,500000
163,QL,21551500,221000
164,CL,21772500,1000
165,QC,21773500,500000
166,CC,22273500,100000
167,CC,22373500,100000
168,QL,22473500,19000
169,QL,22492500,8000
170,CL,22500500,500
