index,type,start_time,duration
0,CL,0,500
1,QC,500,500000
2,QL,500500,20000
3,QC,520500,500000
4,QL,1020500,20000
5,CL,1040500,2500
6,CC,1043000,100000
7,CL,1143000,4000
8,CL,1147000,500
9,QC,1147500,500000
10,QL,1647500,20000
11,QC,1667500,500000
12,QL,2167500,20000
13,CL,2187500,2500
14,CC,2190000,100000
15,CL,2290000,4000
16,CL,2294000,500
17,QC,2294500,500000
18,QL,2794500,20000
19,QC,2814500,500000
20,QL,3314500,20000
21,CL,3334500,2500
22,CC,3337000,100000
23,CL,3437000,4000
24,CL,3441000,500
25,QC,3441500,500000
26,QL,3941500,20000
27,QC,3961500,500000
28,QL,4461500,20000
29,CL,4481500,2500
30,CC,4484000,100000
31,CL,4584000,4000
32,CL,4588000,500
33,QC,4588500,500000
34,QL,5088500,20000
35,QC,5108500,500000
36,QL,5608500,20000
37,CL,5628500,2500
38,CC,5631000,100000
39,CL,5731000,4000
40,CL,5735000,500
41,QC,5735500,500000
42,QL,6235500,20000
43,QC,6255500,500000
44,QL,6755500,20000
45,CL,6775500,2500
46,CC,6778000,100000
47,CL,6878000,4000
48,CL,6882000,500
49,QC,6882500,500000
50,QL,7382500,20000
51,QC,7402500,500000
52,QL,7902500,20000
53,CL,7922500,2500
54,CC,7925000,100000
55,CL,8025000,4000
56,CL,8029000,500
57,QC,8029500,500000
58,QL,8529500,20000
59,QC,8549500,500000
60,QL,9049500,20000
61,CL,9069500,2500
62,CC,9072000,100000
63,CL,9172000,4000
64,CL,9176000,500
65,QC,9176500,500000
66,QL,9676500,20000
67,QC,9696500,500000
68,QL,10196500,20000
69,CL,10216500,2500
70,CC,10219000,100000
71,CL,10319000,4000
72,CL,10323000,500
73,QL,10323500,11000
74,QC,10334500,500000
75,QL,10834500,221000
76,CL,11055500,1000
77,QC,11056500,500000
78,CC,11556500,100000
79,CC,11656500,100000
80,QL,11756500,19000
81,QL,11775500,8000
82,CL,11783500,500
83,CL,11784000,500
84,QL,11784500,11000
85,QC,11795500,500000
86,QL,12295500,221000
87,CL,12516500,1000
88,QC,12517500,500000
89,CC,13017500,100000
90,CC,13117500,100000
91,QL,13217500,19000
92,QL,13236500,8000
93,CL,13244500,500
94,CL,13245000,500
95,QL,13245500,11000
96,QC,13256500,500000
97,QL,13756500,221000
98,CL,13977500,1000
99,QC,13978500,500000
100,CC,14478500,100000
101,CC,14578500,100000
102,QL,14678500,19000
103,QL,14697500,8000
104,CL,14705500,500
105,CL,14706000,500
106,QL,14706500,11000
107,QC,14717500,500000
108,QL,15217500,221000
109,CL,15438500,1000
110,QC,15439500,500000
111,CC,15939500,100000
112,CC,16039500,100000
113,QL,16139500,19000
114,QL,16158500,8000
115,CL,16166500,500
116,CL,16167000,500
117,QL,16167500,11000
118,QC,16178500,500000
119,QL,16678500,221000
120,CL,16899500,1000
121,QC,16900500,500000
122,CC,17400500,100000
123,CC,17500500,100000
124,QL,17600500,19000
125,QL,17619500,8000
126,CL,17627500,500
127,CL,17628000,500
128,QL,17628500,11000
129,QC,17639500,500000
130,QL,18139500,221000
131,CL,18360500,1000
132,QC,18361500,500000
133,CC,18861500,100000
134,CC,18961500,100000
135,QL,19061500,19000
136,QL,19080500,8000
137,CL,19088500,500
138,CL,19089000,500
139,QL,19089500,11000
140,QC,19100500,500000
141,QL,19600500,221000
142,CL,19821500,1000
143,QC,19822500,500000
144,CC,20322500,100000
145,CC,20422500,100000
146,QL,20522500,19000
147,QL,20541500,8000
148,CL,20549500,500
149,CL,20550000,500
150,QL,20550500,11000
151,QC,20561500,500000
152,QL,21061500,221000
153,CL,21282500,1000
154,QC,21283500,500000
155,CC,21783500,100000
156,CC,21883500,100000
157,QL,21983500,19000
158,QL,22002500,8000
159,CL,22010500,500
160,CL,22011000,500
161,QL,22011500,11000
162,QC,22022500,500000
163,QL,22522500,221000
164,CL,22743500,1000
165,QC,22744500,500000
166,CC,23244500,100000
167,CC,23344500,100000
168,QL,23444500,19000
169,QL,23463500,8000
170,CL,23471500,500
