index,type,start_time,duration
0,CL,0,500
1,QC,500,500000
2,QL,500500,20000
3,QC,520500,500000
4,QL,1020500,20000
5,CL,1040500,2500
6,CC,1043000,100000
7,CL,1143000,4000
8,CL,1147000,500
9,QC,1147500,500000
10,QL,1647500,20000
11,QC,1667500,500000
12,QL,2167500,20000
13,CL,2187500,2500
14,CC,2190000,100000
15,CL,2290000,4000
16,CL,2294000,500
17,QC,2294500,500000
18,QL,2794500,20000
19,QC,2814500,500000
20,QL,3314500,20000
21,CL,3334500,2500
22,CC,3337000,100000
23,CL,3437000,4000
24,CL,3441000,500
25,QC,3441500,500000
26,QL,3941500,20000
27,QC,3961500,500000
28,QL,4461500,20000
29,CL,4481500,2500
30,CC,4484000,100000
31,CL,4584000,4000
32,CL,4588000,500
33,QC,4588500,500000
34,QL,5088500,20000
35,QC,5108500,500000
36,QL,5608500,20000
37,CL,5628500,2500
38,CC,5631000,100000
39,CL,5731000,4000
40,CL,5735000,500
41,QC,5735500,500000
42,QL,6235500,20000
43,QC,6255500,500000
44,QL,6755500,20000
45,CL,6775500,2500
46,CC,6778000,100000
47,CL,6878000,4000
48,CL,6882000,500
49,QC,6882500,500000
50,QL,7382500,20000
51,QC,7402500,500000
52,QL,7902500,20000
53,CL,7922500,2500
54,CC,7925000,100000
55,CL,8025000,4000
56,CL,8029000,500
57,QC,8029500,500000
58,QL,8529500,20000
59,QC,8549500,500000
60,QL,9049500,20000
61,CL,9069500,2500
62,CC,9072000,100000
63,CL,9172000,4000
64,CL,9176000,500
65,QC,9176500,500000
66,QL,9676500,20000
67,QC,9696500,500000
68,QL,10196500,20000
69,CL,10216500,2500
70,CC,10219000,100000
71,CL,10319000,4000
72,CL,10323000,500
73,QC,10323500,500000
74,QL,10823500,15000
75,QC,10838500,500000
76,QL,11338500,15000
77,QC,11353500,500000
78,QL,11853500,15000
79,QC,11868500,500000
80,QL,12368500,15000
81,QC,12383500,500000
82,QL,12883500,15000
83,CL,12898500,2500
84,CC,12901000,100000
85,CC,13001000,100000
86,CC,13101000,100000
87,CC,13201000,100000
88,CC,13301000,100000
89,CL,13401000,5000
90,CL,13406000,500
91,QC,13406500,500000
92,QL,13906500,15000
93,QC,13921500,500000
94,QL,14421500,15000
95,QC,14436500,500000
96,QL,14936500,15000
97,QC,14951500,500000
98,QL,15451500,15000
99,QC,15466500,500000
100,QL,15966500,15000
101,CL,15981500,2500
102,CC,15984000,100000
103,CC,16084000,100000
104,CC,16184000,100000
105,CC,16284000,100000
106,CC,16384000,100000
107,CL,16484000,5000
108,CL,16489000,500
109,QC,16489500,500000
110,QL,16989500,15000
111,QC,17004500,500000
112,QL,17504500,15000
113,QC,17519500,500000
114,QL,18019500,15000
115,QC,18034500,500000
116,QL,18534500,15000
117,QC,18549500,500000
118,QL,19049500,15000
119,CL,19064500,2500
120,CC,19067000,100000
121,CC,19167000,100000
122,CC,19267000,100000
123,CC,19367000,100000
124,CC,19467000,100000
125,CL,19567000,5000
126,CL,19572000,500
127,QC,19572500,500000
128,QL,20072500,15000
129,QC,20087500,500000
130,QL,20587500,15000
131,QC,20602500,500000
132,QL,21102500,15000
133,QC,21117500,500000
134,QL,21617500,15000
135,QC,21632500,500000
136,QL,22132500,15000
137,CL,22147500,2500
138,CC,22150000,100000
139,CC,22250000,100000
140,CC,22350000,100000
141,CC,22450000,100000
142,CC,22550000,100000
143,CL,22650000,5000
144,CL,22655000,500
145,QC,22655500,500000
146,QL,23155500,15000
147,QC,23170500,500000
148,QL,23670500,15000
149,QC,23685500,500000
150,QL,24185500,15000
151,QC,24200500,500000
152,QL,24700500,15000
153,QC,24715500,500000
154,QL,25215500,15000
155,CL,25230500,2500
156,CC,25233000,100000
157,CC,25333000,100000
158,CC,25433000,100000
159,CC,25533000,100000
160,CC,25633000,100000
161,CL,25733000,5000
162,CL,25738000,500
163,QC,25738500,500000
164,QL,26238500,15000
165,QC,26253500,500000
166,QL,26753500,15000
167,QC,26768500,500000
168,QL,27268500,15000
169,QC,27283500,500000
170,QL,27783500,15000
171,QC,27798500,500000
172,QL,28298500,15000
173,CL,28313500,2500
174,CC,28316000,100000
175,CC,28416000,100000
176,CC,28516000,100000
177,CC,28616000,100000
178,CC,28716000,100000
179,CL,28816000,5000
180,CL,28821000,500
181,QC,28821500,500000
182,QL,29321500,15000
183,QC,29336500,500000
184,QL,29836500,15000
185,QC,29851500,500000
186,QL,30351500,15000
187,QC,30366500,500000
188,QL,30866500,15000
189,QC,30881500,500000
190,QL,31381500,15000
191,CL,31396500,2500
192,CC,31399000,100000
193,CC,31499000,100000
194,CC,31599000,100000
195,CC,31699000,100000
196,CC,31799000,100000
197,CL,31899000,5000
198,CL,31904000,500
199,QC,31904500,500000
200,QL,32404500,15000
201,QC,32419500,500000
202,QL,32919500,15000
203,QC,32934500,500000
204,QL,33434500,15000
205,QC,33449500,500000
206,QL,33949500,15000
207,QC,33964500,500000
208,QL,34464500,15000
209,CL,34479500,2500
210,CC,34482000,100000
211,CC,34582000,100000
212,CC,34682000,100000
213,CC,34782000,100000
214,CC,34882000,100000
215,CL,34982000,5000
216,CL,34987000,500
217,QC,34987500,500000
218,QL,35487500,15000
219,QC,35502500,500000
220,QL,36002500,15000
221,QC,36017500,500000
222,QL,36517500,15000
223,QC,36532500,500000
224,QL,37032500,15000
225,QC,37047500,500000
226,QL,37547500,15000
227,CL,37562500,2500
228,CC,37565000,100000
229,CC,37665000,100000
230,CC,37765000,100000
231,CC,37865000,100000
232,CC,37965000,100000
233,CL,38065000,5000
