index,type,start_time,duration
0,CL,0,500
1,QC,500,500000
2,QC,500500,500000
3,QL,1000500,202000
4,CC,1202500,100000
5,QL,1302500,20000
6,CL,1322500,500
7,CC,1323000,100000
8,QL,1423000,20000
9,CL,1443000,1000
10,CL,500,500
11,QC,1443000,500000
12,QC,1943000,500000
13,QL,2443000,202000
14,CC,2645000,100000
15,QL,2745000,20000
16,CL,2765000,500
17,CC,2765500,100000
18,QL,2865500,20000
19,CL,2885500,1000
20,CL,1423000,500
21,QC,2885500,500000
22,QC,3385500,500000
23,QL,3885500,202000
24,CC,4087500,100000
25,QL,4187500,20000
26,CL,4207500,500
27,CC,4208000,100000
28,QL,4308000,20000
29,CL,4328000,1000
30,CL,2865500,500
31,QC,4328000,500000
32,QC,4828000,500000
33,QL,5328000,202000
34,CC,5530000,100000
35,QL,5630000,20000
36,CL,5650000,500
37,CC,5650500,100000
38,QL,5750500,20000
39,CL,5770500,1000
40,CL,4308000,500
41,QC,5770500,500000
42,QC,6270500,500000
43,QL,6770500,202000
44,CC,6972500,100000
45,QL,7072500,20000
46,CL,7092500,500
47,CC,7093000,100000
48,QL,7193000,20000
49,CL,7213000,1000
50,CL,5750500,500
51,QC,7213000,500000
52,QC,7713000,500000
53,QL,8213000,202000
54,CC,8415000,100000
55,QL,8515000,20000
56,CL,8535000,500
57,CC,8535500,100000
58,QL,8635500,20000
59,CL,8655500,1000
60,CL,7193000,500
61,QC,8655500,500000
62,QC,9155500,500000
63,QL,9655500,202000
64,CC,9857500,100000
65,QL,9957500,20000
66,CL,9977500,500
67,CC,9978000,100000
68,QL,10078000,20000
69,CL,10098000,1000
70,CL,8635500,500
71,QC,10098000,500000
72,QC,10598000,500000
73,QL,11098000,202000
74,CC,11300000,100000
75,QL,11400000,20000
76,CL,11420000,500
77,CC,11420500,100000
78,QL,11520500,20000
79,CL,11540500,1000
80,CL,10078000,500
81,QC,11540500,500000
82,QC,12040500,500000
83,QL,12540500,202000
84,CC,12742500,100000
85,QL,12842500,20000
86,CL,12862500,500
87,CC,12863000,100000
88,QL,12963000,20000
89,CL,12983000,1000
90,CL,12963000,500
91,QC,12983000,500000
92,CC,13483000,100000
93,CC,13583000,100000
94,QL,13683000,19000
95,QC,13702000,500000
96,QL,14202000,221000
97,CL,14423000,1000
98,CL,14364000,500
99,QC,14423000,500000
100,CC,14923000,100000
101,CC,15023000,100000
102,QL,15123000,19000
103,QC,15142000,500000
104,QL,15642000,221000
105,CL,15863000,1000
106,CL,15804000,500
107,QC,15863000,500000
108,CC,16363000,100000
109,CC,16463000,100000
110,QL,16563000,19000
111,QC,16582000,500000
112,QL,17082000,221000
113,CL,17303000,1000
114,CL,17244000,500
115,QC,17303000,500000
116,CC,17803000,100000
117,CC,17903000,100000
118,QL,18003000,19000
119,QC,18022000,500000
120,QL,18522000,221000
121,CL,18743000,1000
122,CL,18684000,500
123,QC,18743000,500000
124,CC,19243000,100000
125,CC,19343000,100000
126,QL,19443000,19000
127,QC,19462000,500000
128,QL,19962000,221000
129,CL,20183000,1000
130,CL,20124000,500
131,QC,20183000,500000
132,CC,20683000,100000
133,CC,20783000,100000
134,QL,20883000,19000
135,QC,20902000,500000
136,QL,21402000,221000
137,CL,21623000,1000
138,CL,21564000,500
139,QC,21623000,500000
140,CC,22123000,100000
141,CC,22223000,100000
142,QL,22323000,19000
143,QC,22342000,500000
144,QL,22842000,221000
145,CL,23063000,1000
146,CL,23004000,500
147,QC,23063000,500000
148,CC,23563000,100000
149,CC,23663000,100000
150,QL,23763000,19000
151,QC,23782000,500000
152,QL,24282000,221000
153,CL,24503000,1000
154,CL,24444000,500
155,QC,24503000,500000
156,CC,25003000,100000
157,CC,25103000,100000
158,QL,25203000,19000
159,QC,25222000,500000
160,QL,25722000,221000
161,CL,25943000,1000
