qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_bqc,success_probability_qkd
0,4,6,None,NAIVE,False,1,0.6666666666666666,470400000.0,0.6666666666666666,0.6666666666666666
1,4,6,None,NAIVE,False,1,1.0,470400000.0,1.0,1.0
2,4,6,None,NAIVE,False,1,0.8333333333333334,470400000.0,1.0,0.6666666666666666
3,4,6,None,NAIVE,False,1,0.8333333333333334,470400000.0,1.0,0.6666666666666666
4,4,6,None,NAIVE,False,1,0.3333333333333333,470400000.0,0.3333333333333333,0.3333333333333333
5,4,6,None,NAIVE,False,1,0.8333333333333334,470400000.0,0.6666666666666666,1.0
6,4,6,None,NAIVE,False,1,0.6666666666666666,470400000.0,0.6666666666666666,0.6666666666666666
7,4,6,None,NAIVE,False,1,0.3333333333333333,470400000.0,0.0,0.6666666666666666
8,4,6,None,NAIVE,False,1,0.5,470400000.0,1.0,0.0
9,4,6,None,NAIVE,False,1,0.6666666666666666,470400000.0,0.6666666666666666,0.6666666666666666
10,4,6,None,NAIVE,False,1,0.6666666666666666,470400000.0,0.6666666666666666,0.6666666666666666
11,4,6,None,NAIVE,False,1,0.6666666666666666,470400000.0,0.6666666666666666,0.6666666666666666
12,4,6,None,NAIVE,False,1,0.6666666666666666,470400000.0,0.6666666666666666,0.6666666666666666
13,4,6,None,NAIVE,False,1,0.3333333333333333,470400000.0,0.6666666666666666,0.0
14,4,6,None,NAIVE,False,1,0.5,470400000.0,0.3333333333333333,0.6666666666666666
15,4,6,None,NAIVE,False,1,0.5,470400000.0,1.0,0.0
16,4,6,None,NAIVE,False,1,0.8333333333333334,470400000.0,1.0,0.6666666666666666
17,4,6,None,NAIVE,False,1,0.5,470400000.0,0.3333333333333333,0.6666666666666666
18,4,6,None,NAIVE,False,1,0.8333333333333334,470400000.0,1.0,0.6666666666666666
19,4,6,None,NAIVE,False,1,0.16666666666666666,470400000.0,0.3333333333333333,0.0
20,4,6,None,NAIVE,False,1,0.6666666666666666,470400000.0,0.3333333333333333,1.0
21,4,6,None,NAIVE,False,1,0.8333333333333334,470400000.0,1.0,0.6666666666666666
22,4,6,None,NAIVE,False,1,0.5,470400000.0,0.6666666666666666,0.3333333333333333
23,4,6,None,NAIVE,False,1,0.6666666666666666,470400000.0,0.6666666666666666,0.6666666666666666
24,4,6,None,NAIVE,False,1,0.6666666666666666,470400000.0,0.6666666666666666,0.6666666666666666
25,4,6,None,NAIVE,False,1,0.8333333333333334,470400000.0,0.6666666666666666,1.0
26,4,6,None,NAIVE,False,1,0.6666666666666666,470400000.0,0.6666666666666666,0.6666666666666666
27,4,6,None,NAIVE,False,1,0.5,470400000.0,0.6666666666666666,0.3333333333333333
28,4,6,None,NAIVE,False,1,0.8333333333333334,470400000.0,0.6666666666666666,1.0
29,4,6,None,NAIVE,False,1,0.6666666666666666,470400000.0,1.0,0.3333333333333333
30,4,6,None,NAIVE,False,1,0.3333333333333333,470400000.0,0.3333333333333333,0.3333333333333333
31,4,6,None,NAIVE,False,1,0.5,470400000.0,0.0,1.0
32,4,6,None,NAIVE,False,1,0.6666666666666666,470400000.0,0.6666666666666666,0.6666666666666666
33,4,6,None,NAIVE,False,1,0.16666666666666666,470400000.0,0.3333333333333333,0.0
34,4,6,None,NAIVE,False,1,0.5,470400000.0,0.6666666666666666,0.3333333333333333
35,4,6,None,NAIVE,False,1,0.8333333333333334,470400000.0,1.0,0.6666666666666666
36,4,6,None,NAIVE,False,1,0.8333333333333334,470400000.0,1.0,0.6666666666666666
37,4,6,None,NAIVE,False,1,0.5,470400000.0,0.0,1.0
38,4,6,None,NAIVE,False,1,0.5,470400000.0,0.6666666666666666,0.3333333333333333
39,4,6,None,NAIVE,False,1,0.6666666666666666,470400000.0,0.6666666666666666,0.6666666666666666
40,4,6,None,NAIVE,False,1,0.5,470400000.0,0.3333333333333333,0.6666666666666666
41,4,6,None,NAIVE,False,1,0.6666666666666666,470400000.0,0.6666666666666666,0.6666666666666666
42,4,6,None,NAIVE,False,1,0.5,470400000.0,0.6666666666666666,0.3333333333333333
43,4,6,None,NAIVE,False,1,0.5,470400000.0,0.6666666666666666,0.3333333333333333
44,4,6,None,NAIVE,False,1,0.8333333333333334,470400000.0,0.6666666666666666,1.0
45,4,6,None,NAIVE,False,1,0.5,470400000.0,0.6666666666666666,0.3333333333333333
46,4,6,None,NAIVE,False,1,0.5,470400000.0,0.6666666666666666,0.3333333333333333
47,4,6,None,NAIVE,False,1,0.5,470400000.0,0.6666666666666666,0.3333333333333333
48,4,6,None,NAIVE,False,1,0.6666666666666666,470400000.0,0.6666666666666666,0.6666666666666666
49,4,6,None,NAIVE,False,1,1.0,470400000.0,1.0,1.0
50,4,6,None,NAIVE,False,1,0.5,470400000.0,0.3333333333333333,0.6666666666666666
51,4,6,None,NAIVE,False,1,0.5,470400000.0,0.6666666666666666,0.3333333333333333
52,4,6,None,NAIVE,False,1,0.8333333333333334,470400000.0,1.0,0.6666666666666666
53,4,6,None,NAIVE,False,1,0.5,470400000.0,0.0,1.0
54,4,6,None,NAIVE,False,1,0.5,470400000.0,0.6666666666666666,0.3333333333333333
55,4,6,None,NAIVE,False,1,0.5,470400000.0,0.3333333333333333,0.6666666666666666
56,4,6,None,NAIVE,False,1,0.6666666666666666,470400000.0,0.6666666666666666,0.6666666666666666
57,4,6,None,NAIVE,False,1,0.6666666666666666,470400000.0,0.6666666666666666,0.6666666666666666
