qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_pingpong,success_probability_qkd
0,5,12,None,NAIVE,False,1,0.5,942300000.0,0.6666666666666666,0.3333333333333333
1,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.8333333333333334,0.5
2,5,12,None,NAIVE,False,1,0.4166666666666667,942300000.0,0.5,0.3333333333333333
3,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.8333333333333334,0.5
4,5,12,None,NAIVE,False,1,0.4166666666666667,942300000.0,0.3333333333333333,0.5
5,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.6666666666666666,0.5
6,5,12,None,NAIVE,False,1,0.5,942300000.0,0.5,0.5
7,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.5,0.6666666666666666
8,5,12,None,NAIVE,False,1,0.4166666666666667,942300000.0,0.3333333333333333,0.5
9,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.6666666666666666,0.5
10,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.6666666666666666,0.6666666666666666
11,5,12,None,NAIVE,False,1,0.75,942300000.0,0.6666666666666666,0.8333333333333334
12,5,12,None,NAIVE,False,1,0.5,942300000.0,0.6666666666666666,0.3333333333333333
13,5,12,None,NAIVE,False,1,0.5,942300000.0,0.3333333333333333,0.6666666666666666
14,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.6666666666666666,0.6666666666666666
15,5,12,None,NAIVE,False,1,0.75,942300000.0,0.6666666666666666,0.8333333333333334
16,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.6666666666666666,0.5
17,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.5,0.6666666666666666
18,5,12,None,NAIVE,False,1,0.5,942300000.0,0.3333333333333333,0.6666666666666666
19,5,12,None,NAIVE,False,1,0.75,942300000.0,0.6666666666666666,0.8333333333333334
20,5,12,None,NAIVE,False,1,0.75,942300000.0,0.6666666666666666,0.8333333333333334
21,5,12,None,NAIVE,False,1,0.5,942300000.0,0.5,0.5
22,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.6666666666666666,0.6666666666666666
23,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.6666666666666666,0.5
24,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.6666666666666666,0.6666666666666666
25,5,12,None,NAIVE,False,1,0.4166666666666667,942300000.0,0.5,0.3333333333333333
26,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.5,0.8333333333333334
27,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.6666666666666666,0.5
28,5,12,None,NAIVE,False,1,0.5,942300000.0,0.6666666666666666,0.3333333333333333
29,5,12,None,NAIVE,False,1,0.4166666666666667,942300000.0,0.6666666666666666,0.16666666666666666
30,5,12,None,NAIVE,False,1,0.8333333333333334,942300000.0,0.6666666666666666,1.0
31,5,12,None,NAIVE,False,1,0.5,942300000.0,0.5,0.5
32,5,12,None,NAIVE,False,1,0.5,942300000.0,0.8333333333333334,0.16666666666666666
33,5,12,None,NAIVE,False,1,0.4166666666666667,942300000.0,0.5,0.3333333333333333
34,5,12,None,NAIVE,False,1,0.5,942300000.0,0.5,0.5
35,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.6666666666666666,0.6666666666666666
36,5,12,None,NAIVE,False,1,0.5,942300000.0,0.3333333333333333,0.6666666666666666
37,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.8333333333333334,0.5
38,5,12,None,NAIVE,False,1,0.4166666666666667,942300000.0,0.3333333333333333,0.5
