qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_bqc
173,0,6,None,NAIVE,False,1,0.8333333333333334,394860000.0,0.8333333333333334
174,0,6,None,NAIVE,False,1,1.0,394860000.0,1.0
175,0,6,None,NAIVE,False,1,0.8333333333333334,394860000.0,0.8333333333333334
176,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
177,0,6,None,NAIVE,False,1,0.8333333333333334,394860000.0,0.8333333333333334
178,0,6,None,NAIVE,False,1,0.5,394860000.0,0.5
179,0,6,None,NAIVE,False,1,0.8333333333333334,394860000.0,0.8333333333333334
180,0,6,None,NAIVE,False,1,0.5,394860000.0,0.5
181,0,6,None,NAIVE,False,1,0.8333333333333334,394860000.0,0.8333333333333334
182,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
183,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
184,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
185,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
186,0,6,None,NAIVE,False,1,0.8333333333333334,394860000.0,0.8333333333333334
187,0,6,None,NAIVE,False,1,0.8333333333333334,394860000.0,0.8333333333333334
188,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
189,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
190,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
191,0,6,None,NAIVE,False,1,0.8333333333333334,394860000.0,0.8333333333333334
192,0,6,None,NAIVE,False,1,0.8333333333333334,394860000.0,0.8333333333333334
193,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
194,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
195,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
196,0,6,None,NAIVE,False,1,0.8333333333333334,394860000.0,0.8333333333333334
197,0,6,None,NAIVE,False,1,0.6666666666666666,394860000.0,0.6666666666666666
198,0,6,None,NAIVE,False,1,0.8333333333333334,394860000.0,0.8333333333333334
199,0,6,None,NAIVE,False,1,0.3333333333333333,394860000.0,0.3333333333333333
