qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_bqc
0,0,12,216,HEU,False,5,0.8333333333333334,411700000.0,0.8333333333333334
1,0,12,216,HEU,False,5,0.9166666666666666,411700000.0,0.9166666666666666
2,0,12,216,HEU,False,5,0.5,411700000.0,0.5
3,0,12,216,HEU,False,5,0.75,411700000.0,0.75
4,0,12,216,HEU,False,5,0.6666666666666666,411700000.0,0.6666666666666666
5,0,12,216,HEU,False,5,0.5833333333333334,411700000.0,0.5833333333333334
6,0,12,216,HEU,False,5,0.75,411700000.0,0.75
7,0,12,216,HEU,False,5,0.5833333333333334,411700000.0,0.5833333333333334
8,0,12,216,HEU,False,5,0.6666666666666666,411700000.0,0.6666666666666666
9,0,12,216,HEU,False,5,0.75,411700000.0,0.75
10,0,12,216,HEU,False,5,0.6666666666666666,411700000.0,0.6666666666666666
11,0,12,216,HEU,False,5,0.6666666666666666,411700000.0,0.6666666666666666
12,0,12,216,HEU,False,5,0.5833333333333334,411700000.0,0.5833333333333334
13,0,12,216,HEU,False,5,0.8333333333333334,411700000.0,0.8333333333333334
14,0,12,216,HEU,False,5,0.75,411700000.0,0.75
15,0,12,216,HEU,False,5,0.5,411700000.0,0.5
16,0,12,216,HEU,False,5,0.5833333333333334,411700000.0,0.5833333333333334
17,0,12,216,HEU,False,5,0.5,411700000.0,0.5
18,0,12,216,HEU,False,5,0.5833333333333334,411700000.0,0.5833333333333334
19,0,12,216,HEU,False,5,0.6666666666666666,411700000.0,0.6666666666666666
20,0,12,216,HEU,False,5,0.75,411700000.0,0.75
21,0,12,216,HEU,False,5,0.5833333333333334,411700000.0,0.5833333333333334
22,0,12,216,HEU,False,5,0.8333333333333334,411700000.0,0.8333333333333334
23,0,12,216,HEU,False,5,0.3333333333333333,411700000.0,0.3333333333333333
24,0,12,216,HEU,False,5,0.5833333333333334,411700000.0,0.5833333333333334
25,0,12,216,HEU,False,5,0.5833333333333334,411700000.0,0.5833333333333334
26,0,12,216,HEU,False,5,0.75,411700000.0,0.75
27,0,12,216,HEU,False,5,0.6666666666666666,411700000.0,0.6666666666666666
28,0,12,216,HEU,False,5,0.75,411700000.0,0.75
29,0,12,216,HEU,False,5,0.6666666666666666,411700000.0,0.6666666666666666
30,0,12,216,HEU,False,5,0.8333333333333334,411700000.0,0.8333333333333334
31,0,12,216,HEU,False,5,0.5,411700000.0,0.5
32,0,12,216,HEU,False,5,0.5833333333333334,411700000.0,0.5833333333333334
33,0,12,216,HEU,False,5,0.5833333333333334,411700000.0,0.5833333333333334
34,0,12,216,HEU,False,5,0.6666666666666666,411700000.0,0.6666666666666666
35,0,12,216,HEU,False,5,0.8333333333333334,411700000.0,0.8333333333333334
36,0,12,216,HEU,False,5,0.75,411700000.0,0.75
37,0,12,216,HEU,False,5,0.5833333333333334,411700000.0,0.5833333333333334
38,0,12,216,HEU,False,5,0.75,411700000.0,0.75
39,0,12,216,HEU,False,5,0.9166666666666666,411700000.0,0.9166666666666666
40,0,12,216,HEU,False,5,0.75,411700000.0,0.75
41,0,12,216,HEU,False,5,0.5,411700000.0,0.5
42,0,12,216,HEU,False,5,0.5833333333333334,411700000.0,0.5833333333333334
43,0,12,216,HEU,False,5,0.9166666666666666,411700000.0,0.9166666666666666
44,0,12,216,HEU,False,5,0.5,411700000.0,0.5
45,0,12,216,HEU,False,5,0.5833333333333334,411700000.0,0.5833333333333334
46,0,12,216,HEU,False,5,0.75,411700000.0,0.75
47,0,12,216,HEU,False,5,0.5833333333333334,411700000.0,0.5833333333333334
48,0,12,216,HEU,False,5,0.3333333333333333,411700000.0,0.3333333333333333
49,0,12,216,HEU,False,5,0.6666666666666666,411700000.0,0.6666666666666666
50,0,12,216,HEU,False,5,0.6666666666666666,411700000.0,0.6666666666666666
51,0,12,216,HEU,False,5,0.6666666666666666,411700000.0,0.6666666666666666
52,0,12,216,HEU,False,5,0.6666666666666666,411700000.0,0.6666666666666666
53,0,12,216,HEU,False,5,0.8333333333333334,411700000.0,0.8333333333333334
