qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_bqc,success_probability_pingpong,success_probability_qkd
0,6,12,10136,OPT,False,5,0.75,440640000.0,0.75,1.0,0.5
1,6,12,10136,OPT,False,5,0.6666666666666666,440580000.0,0.5,1.0,0.5
2,6,12,10136,OPT,False,5,0.5833333333333334,440620000.0,1.0,0.5,0.25
3,6,12,10136,OPT,False,5,0.5,440640000.0,0.5,0.75,0.25
4,6,12,10136,OPT,False,5,0.8333333333333334,440700000.0,0.75,1.0,0.75
5,6,12,10136,OPT,False,5,0.75,440580000.0,0.5,0.75,1.0
6,6,12,10136,OPT,False,5,0.75,440640000.0,0.75,0.5,1.0
7,6,12,10136,OPT,False,5,0.6666666666666666,440700000.0,0.75,0.75,0.5
8,6,12,10136,OPT,False,5,0.5833333333333334,440620000.0,0.75,0.5,0.5
9,6,12,10136,OPT,False,5,0.8333333333333334,440640000.0,0.75,1.0,0.75
10,6,12,10136,OPT,False,5,0.5,440660000.0,0.75,0.5,0.25
11,6,12,10136,OPT,False,5,0.6666666666666666,440640000.0,0.5,0.5,1.0
12,6,12,10136,OPT,False,5,0.8333333333333334,440580000.0,1.0,0.75,0.75
13,6,12,10136,OPT,False,5,0.5,440600000.0,0.25,0.75,0.5
14,6,12,10136,OPT,False,5,0.6666666666666666,440660000.0,0.75,0.75,0.5
15,6,12,10136,OPT,False,5,0.75,440700000.0,0.5,0.75,1.0
16,6,12,10136,OPT,False,5,0.75,440600000.0,0.75,0.75,0.75
17,6,12,10136,OPT,False,5,0.5,440600000.0,0.75,0.75,0.0
18,6,12,10136,OPT,False,5,0.75,440700000.0,0.75,0.75,0.75
19,6,12,10136,OPT,False,5,0.5833333333333334,440620000.0,0.25,0.5,1.0
20,6,12,10136,OPT,False,5,0.5833333333333334,440660000.0,0.5,0.75,0.5
21,6,12,10136,OPT,False,5,0.6666666666666666,440700000.0,0.5,1.0,0.5
22,6,12,10136,OPT,False,5,0.5833333333333334,440620000.0,0.5,0.5,0.75
23,6,12,10136,OPT,False,5,0.3333333333333333,440560000.0,0.5,0.25,0.25
24,6,12,10136,OPT,False,5,0.75,440660000.0,0.5,0.75,1.0
25,6,12,10136,OPT,False,5,0.6666666666666666,440660000.0,0.25,1.0,0.75
26,6,12,10136,OPT,False,5,0.8333333333333334,440620000.0,0.75,0.75,1.0
27,6,12,10136,OPT,False,5,0.5833333333333334,440640000.0,0.5,0.75,0.5
28,6,12,10136,OPT,False,5,0.5833333333333334,440660000.0,0.5,1.0,0.25
29,6,12,10136,OPT,False,5,0.5,440640000.0,0.5,0.75,0.25
30,6,12,10136,OPT,False,5,0.4166666666666667,440660000.0,0.0,0.75,0.5
