dataset_id,n_sessions,ns_id,length_factor,schedule_type,role,bqc_sessions,pingpong_sessions,qkd_sessions,solve_time,makespan,PUF_both,PUF_CPU,PUF_QPU
0,6,8,3,OPT,alice,6,0,0,1.033787488937378,952000000,0.3315126050420168,0.0718487394957983,0.2596638655462185
0,6,8,3,OPT,bob,6,0,0,1.1313486099243164,962300000,0.3996674633690117,0.1271952613530084,0.2724722020160033
0,6,20,3,OPT,alice,6,0,0,1.0640394687652588,1152000000,0.2739583333333333,0.059375,0.2145833333333333
0,6,20,3,OPT,bob,6,0,0,1.173670768737793,1162300000,0.3308956379592188,0.1053084401617482,0.2255871977974705
0,6,21,3,OPT,alice,6,0,0,1.0663080215454102,1112000000,0.2838129496402877,0.0615107913669064,0.2223021582733813
0,6,21,3,OPT,bob,6,0,0,1.1649055480957031,1122300000,0.3426891205560011,0.1090617481956696,0.2336273723603314
0,6,51,3,OPT,alice,6,0,0,1.0292754173278809,1112000000,0.2838129496402877,0.0615107913669064,0.2223021582733813
0,6,51,3,OPT,bob,6,0,0,1.1455607414245603,1122300000,0.3426891205560011,0.1090617481956696,0.2336273723603314
0,6,68,3,OPT,alice,6,0,0,1.0740432739257812,992000000,0.3181451612903225,0.0689516129032258,0.2491935483870967
0,6,68,3,OPT,bob,6,0,0,1.1373240947723389,1002300000,0.3837174498653098,0.1221191260101765,0.2615983238551332
0,6,90,3,OPT,alice,6,0,0,1.0642738342285156,1112000000,0.2838129496402877,0.0615107913669064,0.2223021582733813
0,6,90,3,OPT,bob,6,0,0,1.1486554145812988,1122300000,0.3426891205560011,0.1090617481956696,0.2336273723603314
0,6,121,3,OPT,alice,6,0,0,1.06915020942688,1152000000,0.2739583333333333,0.059375,0.2145833333333333
0,6,121,3,OPT,bob,6,0,0,1.164701223373413,1162300000,0.3308956379592188,0.1053084401617482,0.2255871977974705
0,6,128,3,OPT,alice,6,0,0,1.0565533638000488,1132000000,0.2787985865724381,0.0604240282685512,0.2183745583038869
0,6,128,3,OPT,bob,6,0,0,1.153038501739502,1142300000,0.3366891359537775,0.1071522367153987,0.2295368992383787
0,6,143,3,OPT,alice,6,0,0,1.0692031383514404,1152000000,0.2739583333333333,0.059375,0.2145833333333333
0,6,143,3,OPT,bob,6,0,0,1.1569035053253174,1162300000,0.3308956379592188,0.1053084401617482,0.2255871977974705
0,6,162,3,OPT,alice,6,0,0,1.0578851699829102,1012000000,0.3118577075098814,0.0675889328063241,0.2442687747035573
0,6,162,3,OPT,bob,6,0,0,1.1388428211212158,1022300000,0.3762105057223907,0.1197300205419152,0.2564804851804754
0,6,169,3,OPT,alice,6,0,0,1.0624711513519287,932000000,0.3386266094420601,0.0733905579399141,0.2652360515021459
0,6,169,3,OPT,bob,6,0,0,1.1468560695648191,942300000,0.4081502706144539,0.1298949379178605,0.2782553326965934
0,6,172,3,OPT,alice,6,0,0,1.0936057567596436,1132000000,0.2787985865724381,0.0604240282685512,0.2183745583038869
0,6,172,3,OPT,bob,6,0,0,1.148726224899292,1142300000,0.3366891359537775,0.1071522367153987,0.2295368992383787
0,6,229,3,OPT,alice,6,0,0,1.0607473850250244,1012000000,0.3118577075098814,0.0675889328063241,0.2442687747035573
0,6,229,3,OPT,bob,6,0,0,1.1529269218444824,1022300000,0.3762105057223907,0.1197300205419152,0.2564804851804754
0,6,230,3,OPT,alice,6,0,0,1.0590486526489258,1092000000,0.289010989010989,0.0626373626373626,0.2263736263736263
0,6,230,3,OPT,bob,6,0,0,1.141777753829956,1102300000,0.3489068311711875,0.1110405515739816,0.2378662795972058
0,6,241,3,OPT,alice,6,0,0,1.097193717956543,1032000000,0.3058139534883721,0.0662790697674418,0.2395348837209302
0,6,241,3,OPT,bob,6,0,0,1.129342555999756,1042300000,0.3689916530749304,0.117432600978605,0.2515590520963254
0,6,252,3,OPT,alice,6,0,0,1.06870436668396,1052000000,0.3,0.0650190114068441,0.2349809885931559
0,6,252,3,OPT,bob,6,0,0,1.1443939208984375,1062300000,0.3620446201637955,0.1152216887884778,0.2468229313753177
0,6,279,3,OPT,alice,6,0,0,1.071016550064087,1132000000,0.2787985865724381,0.0604240282685512,0.2183745583038869
0,6,279,3,OPT,bob,6,0,0,1.1566460132598877,1142300000,0.3366891359537775,0.1071522367153987,0.2295368992383787
0,6,281,3,OPT,alice,6,0,0,1.0514307022094729,1132000000,0.2787985865724381,0.0604240282685512,0.2183745583038869
0,6,281,3,OPT,bob,6,0,0,1.1486530303955078,1142300000,0.3366891359537775,0.1071522367153987,0.2295368992383787
0,6,290,3,OPT,alice,6,0,0,1.0817890167236328,1152000000,0.2739583333333333,0.059375,0.2145833333333333
0,6,290,3,OPT,bob,6,0,0,1.1499085426330566,1162300000,0.3308956379592188,0.1053084401617482,0.2255871977974705
0,6,336,3,OPT,alice,6,0,0,1.0724518299102783,1152000000,0.2739583333333333,0.059375,0.2145833333333333
0,6,336,3,OPT,bob,6,0,0,1.140774488449097,1162300000,0.3308956379592188,0.1053084401617482,0.2255871977974705
0,6,353,3,OPT,alice,6,0,0,1.0663056373596191,1012000000,0.3118577075098814,0.0675889328063241,0.2442687747035573
0,6,353,3,OPT,bob,6,0,0,1.1128571033477783,1022300000,0.3762105057223907,0.1197300205419152,0.2564804851804754
0,6,375,3,OPT,alice,6,0,0,1.0658042430877686,852000000,0.3704225352112676,0.080281690140845,0.2901408450704225
0,6,375,3,OPT,bob,6,0,0,1.1483476161956787,862300000,0.4460164675866868,0.1419459584831265,0.3040705091035602
