dataset_id,n_sessions,ns_id,length_factor,schedule_type,role,bqc_sessions,pingpong_sessions,qkd_sessions,solve_time,makespan,PUF_both,PUF_CPU,PUF_QPU
0,12,25,5,HEU,alice,12,0,0,2.393000364303589,3792000000,0.1664556962025316,0.0360759493670886,0.130379746835443
0,12,25,5,HEU,bob,12,0,0,5.032010078430176,3802300000,0.2022986087368171,0.0643820845277858,0.1379165242090314
0,12,89,5,HEU,alice,12,0,0,2.56514048576355,3752000000,0.168230277185501,0.0364605543710021,0.1317697228144989
0,12,89,5,HEU,bob,12,0,0,4.857906103134155,3762300000,0.2044494059484889,0.0650665816123116,0.1393828243361773
0,12,196,5,HEU,alice,12,0,0,2.5758378505706787,3752000000,0.168230277185501,0.0364605543710021,0.1317697228144989
0,12,196,5,HEU,bob,12,0,0,4.606000661849976,3762300000,0.2044494059484889,0.0650665816123116,0.1393828243361773
0,12,201,5,HEU,alice,12,0,0,2.636552572250366,3632000000,0.1737885462555066,0.0376651982378854,0.1361233480176211
0,12,201,5,HEU,bob,12,0,0,4.69251275062561,3642300000,0.211185240095544,0.0672102792191747,0.1439749608763693
0,12,212,5,HEU,alice,12,0,0,2.589164018630981,3632000000,0.1737885462555066,0.0376651982378854,0.1361233480176211
0,12,212,5,HEU,bob,12,0,0,4.628838777542114,3642300000,0.211185240095544,0.0672102792191747,0.1439749608763693
0,12,216,5,HEU,alice,12,0,0,2.613410711288452,3372000000,0.1871886120996441,0.0405693950177935,0.1466192170818505
0,12,216,5,HEU,bob,12,0,0,4.869050741195679,3382300000,0.2274192117789669,0.0723767850279395,0.1550424267510274
0,12,229,5,HEU,alice,12,0,0,2.604914426803589,3572000000,0.1767077267637178,0.0382978723404255,0.1384098544232922
0,12,229,5,HEU,bob,12,0,0,4.926181077957153,3582300000,0.2147223850598777,0.0683359852608659,0.1463863997990118
0,12,294,5,HEU,alice,12,0,0,2.0279102325439453,3292000000,0.191737545565006,0.0415552855407047,0.1501822600243013
0,12,294,5,HEU,bob,12,0,0,4.986416339874268,3302300000,0.2329285649395875,0.0741301517124428,0.1587984132271447
0,12,332,5,HEU,alice,12,0,0,1.8123986721038816,3532000000,0.1787089467723669,0.038731596828992,0.1399773499433748
0,12,332,5,HEU,bob,12,0,0,4.652038335800171,3542300000,0.2171470513508172,0.0691076419275611,0.148039409423256
0,12,338,5,HEU,alice,12,0,0,2.667469024658203,3652000000,0.1728368017524644,0.0374589266155531,0.1353778751369112
0,12,338,5,HEU,bob,12,0,0,3.116162776947021,3662300000,0.210031947137045,0.0668432405865166,0.1431887065505283
0,12,393,5,HEU,alice,12,0,0,4.2745325565338135,3332000000,0.1894357743097239,0.0410564225690276,0.1483793517406962
0,12,393,5,HEU,bob,12,0,0,3.033836126327514,3342300000,0.2301409209227179,0.0732429763935014,0.1568979445292164
0,12,499,5,HEU,alice,12,0,0,2.529837131500244,3592000000,0.1757238307349665,0.0380846325167037,0.1376391982182628
0,12,499,5,HEU,bob,12,0,0,3.535552740097046,3602300000,0.2135302445659717,0.0679565832940066,0.1455736612719651
