qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_bqc
0,0,6,1038,OPT,False,3,0.1666666666666666,1072820000.0,0.1666666666666666
1,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
2,0,6,1038,OPT,False,3,0.3333333333333333,1072820000.0,0.3333333333333333
3,0,6,1038,OPT,False,3,0.5,1072820000.0,0.5
4,0,6,1038,OPT,False,3,0.5,1072820000.0,0.5
5,0,6,1038,OPT,False,3,0.3333333333333333,1072820000.0,0.3333333333333333
6,0,6,1038,OPT,False,3,0.8333333333333334,1072820000.0,0.8333333333333334
7,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
8,0,6,1038,OPT,False,3,0.5,1072820000.0,0.5
9,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
10,0,6,1038,OPT,False,3,0.8333333333333334,1072820000.0,0.8333333333333334
11,0,6,1038,OPT,False,3,0.5,1072820000.0,0.5
12,0,6,1038,OPT,False,3,0.5,1072820000.0,0.5
13,0,6,1038,OPT,False,3,1.0,1072820000.0,1.0
14,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
15,0,6,1038,OPT,False,3,0.5,1072820000.0,0.5
16,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
17,0,6,1038,OPT,False,3,0.3333333333333333,1072820000.0,0.3333333333333333
18,0,6,1038,OPT,False,3,0.5,1072820000.0,0.5
19,0,6,1038,OPT,False,3,0.5,1072820000.0,0.5
20,0,6,1038,OPT,False,3,0.8333333333333334,1072820000.0,0.8333333333333334
21,0,6,1038,OPT,False,3,0.8333333333333334,1072820000.0,0.8333333333333334
22,0,6,1038,OPT,False,3,0.8333333333333334,1072820000.0,0.8333333333333334
23,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
24,0,6,1038,OPT,False,3,0.8333333333333334,1072820000.0,0.8333333333333334
25,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
26,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
27,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
28,0,6,1038,OPT,False,3,0.5,1072820000.0,0.5
29,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
30,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
31,0,6,1038,OPT,False,3,0.3333333333333333,1072820000.0,0.3333333333333333
32,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
33,0,6,1038,OPT,False,3,0.5,1072820000.0,0.5
34,0,6,1038,OPT,False,3,0.3333333333333333,1072820000.0,0.3333333333333333
35,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
36,0,6,1038,OPT,False,3,0.5,1072820000.0,0.5
37,0,6,1038,OPT,False,3,0.8333333333333334,1072820000.0,0.8333333333333334
38,0,6,1038,OPT,False,3,0.3333333333333333,1072820000.0,0.3333333333333333
39,0,6,1038,OPT,False,3,0.5,1072820000.0,0.5
40,0,6,1038,OPT,False,3,0.5,1072820000.0,0.5
41,0,6,1038,OPT,False,3,0.5,1072820000.0,0.5
42,0,6,1038,OPT,False,3,0.5,1072820000.0,0.5
43,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
44,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
45,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
46,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
47,0,6,1038,OPT,False,3,1.0,1072820000.0,1.0
48,0,6,1038,OPT,False,3,0.8333333333333334,1072820000.0,0.8333333333333334
49,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
50,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
51,0,6,1038,OPT,False,3,0.8333333333333334,1072820000.0,0.8333333333333334
52,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
53,0,6,1038,OPT,False,3,0.5,1072820000.0,0.5
54,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
55,0,6,1038,OPT,False,3,0.8333333333333334,1072820000.0,0.8333333333333334
56,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
57,0,6,1038,OPT,False,3,0.1666666666666666,1072820000.0,0.1666666666666666
58,0,6,1038,OPT,False,3,0.5,1072820000.0,0.5
59,0,6,1038,OPT,False,3,0.3333333333333333,1072820000.0,0.3333333333333333
60,0,6,1038,OPT,False,3,0.3333333333333333,1072820000.0,0.3333333333333333
61,0,6,1038,OPT,False,3,0.1666666666666666,1072820000.0,0.1666666666666666
62,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
63,0,6,1038,OPT,False,3,0.8333333333333334,1072820000.0,0.8333333333333334
64,0,6,1038,OPT,False,3,0.3333333333333333,1072820000.0,0.3333333333333333
65,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
66,0,6,1038,OPT,False,3,0.3333333333333333,1072820000.0,0.3333333333333333
67,0,6,1038,OPT,False,3,0.5,1072820000.0,0.5
68,0,6,1038,OPT,False,3,0.5,1072820000.0,0.5
69,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
70,0,6,1038,OPT,False,3,0.8333333333333334,1072820000.0,0.8333333333333334
71,0,6,1038,OPT,False,3,1.0,1072820000.0,1.0
72,0,6,1038,OPT,False,3,0.6666666666666666,1072820000.0,0.6666666666666666
73,0,6,1038,OPT,False,3,0.8333333333333334,1072820000.0,0.8333333333333334
