dataset_id,n_sessions,ns_id,length_factor,schedule_type,role,bqc_sessions,pingpong_sessions,qkd_sessions,solve_time,makespan,PUF_both,PUF_CPU,PUF_QPU
0,6,,1,NAIVE,alice,6,0,0,0.8998169898986816,315600000,1.0,0.2167300380228136,0.7832699619771863
0,6,,1,NAIVE,bob,6,0,0,0.9442565441131592,384600000,1.0,0.3182527301092043,0.6817472698907956
1,6,,1,NAIVE,alice,0,6,0,0.9271578788757324,380400000,1.0,0.3217665615141956,0.6782334384858044
1,6,,1,NAIVE,bob,0,6,0,0.9179999828338624,385800000,1.0,0.3157076205287714,0.6842923794712286
2,6,,1,NAIVE,alice,0,0,6,1.351078748703003,556800000,1.0,0.334051724137931,0.665948275862069
2,6,,1,NAIVE,bob,0,0,6,1.355736255645752,556800000,1.0,0.334051724137931,0.665948275862069
3,6,,1,NAIVE,alice,3,3,0,0.9155302047729492,348000000,1.0,0.2741379310344827,0.7258620689655172
3,6,,1,NAIVE,bob,3,3,0,0.956728219985962,385200000,1.0,0.3169781931464174,0.6830218068535826
4,6,,1,NAIVE,alice,3,0,3,1.184431076049805,436200000,1.0,0.2916093535075653,0.7083906464924347
4,6,,1,NAIVE,bob,3,0,3,1.187525510787964,470700000,1.0,0.3275971956660293,0.6724028043339707
5,6,,1,NAIVE,alice,0,3,3,1.1852734088897705,468600000,1.0,0.3290653008962868,0.6709346991037132
5,6,,1,NAIVE,bob,0,3,3,1.1862571239471436,471300000,1.0,0.3265436028007638,0.6734563971992361
6,6,,1,NAIVE,alice,2,2,2,1.105030536651611,417600000,1.0,0.3007662835249042,0.6992337164750958
6,6,,1,NAIVE,bob,2,2,2,1.1366212368011475,442400000,1.0,0.3241410488245931,0.6758589511754068
