qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_qkd,success_probability_pingpong
0,5,6,10019,HEU,False,3,0.3333333333333333,1402590000.0,0.3333333333333333,0.3333333333333333
1,5,6,10019,HEU,False,3,0.1666666666666666,1402590000.0,0.0,0.3333333333333333
2,5,6,10019,HEU,False,3,0.5,1402610000.0,0.0,1.0
3,5,6,10019,HEU,False,3,0.8333333333333334,1402570000.0,0.6666666666666666,1.0
4,5,6,10019,HEU,False,3,0.5,1402590000.0,0.3333333333333333,0.6666666666666666
5,5,6,10019,HEU,False,3,0.1666666666666666,1402590000.0,0.0,0.3333333333333333
6,5,6,10019,HEU,False,3,0.1666666666666666,1402610000.0,0.3333333333333333,0.0
7,5,6,10019,HEU,False,3,0.6666666666666666,1402590000.0,1.0,0.3333333333333333
8,5,6,10019,HEU,False,3,0.8333333333333334,1402570000.0,1.0,0.6666666666666666
9,5,6,10019,HEU,False,3,0.8333333333333334,1402590000.0,1.0,0.6666666666666666
10,5,6,10019,HEU,False,3,0.5,1402590000.0,0.6666666666666666,0.3333333333333333
11,5,6,10019,HEU,False,3,0.5,1402610000.0,0.3333333333333333,0.6666666666666666
12,5,6,10019,HEU,False,3,0.5,1402570000.0,0.3333333333333333,0.6666666666666666
13,5,6,10019,HEU,False,3,0.8333333333333334,1402570000.0,1.0,0.6666666666666666
14,5,6,10019,HEU,False,3,0.5,1402570000.0,0.3333333333333333,0.6666666666666666
15,5,6,10019,HEU,False,3,0.6666666666666666,1402610000.0,0.6666666666666666,0.6666666666666666
16,5,6,10019,HEU,False,3,0.6666666666666666,1402590000.0,0.6666666666666666,0.6666666666666666
17,5,6,10019,HEU,False,3,0.5,1402590000.0,0.3333333333333333,0.6666666666666666
18,5,6,10019,HEU,False,3,0.6666666666666666,1402570000.0,0.6666666666666666,0.6666666666666666
19,5,6,10019,HEU,False,3,0.6666666666666666,1402610000.0,0.6666666666666666,0.6666666666666666
20,5,6,10019,HEU,False,3,0.6666666666666666,1402570000.0,0.6666666666666666,0.6666666666666666
21,5,6,10019,HEU,False,3,0.5,1402570000.0,0.3333333333333333,0.6666666666666666
22,5,6,10019,HEU,False,3,0.5,1402590000.0,0.3333333333333333,0.6666666666666666
23,5,6,10019,HEU,False,3,0.5,1402610000.0,0.3333333333333333,0.6666666666666666
24,5,6,10019,HEU,False,3,0.5,1402570000.0,0.6666666666666666,0.3333333333333333
25,5,6,10019,HEU,False,3,0.5,1402610000.0,0.3333333333333333,0.6666666666666666
26,5,6,10019,HEU,False,3,0.5,1402590000.0,0.0,1.0
27,5,6,10019,HEU,False,3,0.6666666666666666,1402590000.0,0.3333333333333333,1.0
28,5,6,10019,HEU,False,3,0.3333333333333333,1402610000.0,0.3333333333333333,0.3333333333333333
29,5,6,10019,HEU,False,3,0.8333333333333334,1402570000.0,0.6666666666666666,1.0
30,5,6,10019,HEU,False,3,0.6666666666666666,1402570000.0,0.3333333333333333,1.0
31,5,6,10019,HEU,False,3,0.6666666666666666,1402590000.0,0.6666666666666666,0.6666666666666666
32,5,6,10019,HEU,False,3,0.5,1402590000.0,0.3333333333333333,0.6666666666666666
33,5,6,10019,HEU,False,3,0.5,1402590000.0,0.3333333333333333,0.6666666666666666
34,5,6,10019,HEU,False,3,0.3333333333333333,1402590000.0,0.3333333333333333,0.3333333333333333
35,5,6,10019,HEU,False,3,0.3333333333333333,1402570000.0,0.3333333333333333,0.3333333333333333
36,5,6,10019,HEU,False,3,0.5,1402590000.0,0.3333333333333333,0.6666666666666666
37,5,6,10019,HEU,False,3,0.8333333333333334,1402610000.0,1.0,0.6666666666666666
38,5,6,10019,HEU,False,3,0.6666666666666666,1402590000.0,0.6666666666666666,0.6666666666666666
39,5,6,10019,HEU,False,3,0.5,1402590000.0,0.6666666666666666,0.3333333333333333
40,5,6,10019,HEU,False,3,0.8333333333333334,1402590000.0,1.0,0.6666666666666666
41,5,6,10019,HEU,False,3,0.5,1402570000.0,0.0,1.0
42,5,6,10019,HEU,False,3,0.5,1402590000.0,0.3333333333333333,0.6666666666666666
43,5,6,10019,HEU,False,3,1.0,1402610000.0,1.0,1.0
44,5,6,10019,HEU,False,3,0.5,1402590000.0,0.3333333333333333,0.6666666666666666
45,5,6,10019,HEU,False,3,0.5,1402590000.0,0.3333333333333333,0.6666666666666666
46,5,6,10019,HEU,False,3,0.3333333333333333,1402590000.0,0.0,0.6666666666666666
47,5,6,10019,HEU,False,3,0.3333333333333333,1402570000.0,0.6666666666666666,0.0
48,5,6,10019,HEU,False,3,0.5,1402570000.0,0.6666666666666666,0.3333333333333333
49,5,6,10019,HEU,False,3,0.8333333333333334,1402610000.0,0.6666666666666666,1.0
50,5,6,10019,HEU,False,3,0.5,1402570000.0,0.3333333333333333,0.6666666666666666
51,5,6,10019,HEU,False,3,0.8333333333333334,1402610000.0,0.6666666666666666,1.0
52,5,6,10019,HEU,False,3,0.6666666666666666,1402590000.0,1.0,0.3333333333333333
53,5,6,10019,HEU,False,3,0.6666666666666666,1402570000.0,0.3333333333333333,1.0
54,5,6,10019,HEU,False,3,0.6666666666666666,1402590000.0,0.6666666666666666,0.6666666666666666
55,5,6,10019,HEU,False,3,0.6666666666666666,1402570000.0,0.6666666666666666,0.6666666666666666
56,5,6,10019,HEU,False,3,1.0,1402590000.0,1.0,1.0
57,5,6,10019,HEU,False,3,1.0,1402590000.0,1.0,1.0
58,5,6,10019,HEU,False,3,0.8333333333333334,1402610000.0,0.6666666666666666,1.0
59,5,6,10019,HEU,False,3,0.6666666666666666,1402570000.0,0.6666666666666666,0.6666666666666666
60,5,6,10019,HEU,False,3,0.3333333333333333,1402590000.0,0.3333333333333333,0.3333333333333333
61,5,6,10019,HEU,False,3,0.6666666666666666,1402570000.0,0.6666666666666666,0.6666666666666666
62,5,6,10019,HEU,False,3,0.5,1402590000.0,0.6666666666666666,0.3333333333333333
63,5,6,10019,HEU,False,3,1.0,1402590000.0,1.0,1.0
64,5,6,10019,HEU,False,3,0.5,1402610000.0,0.3333333333333333,0.6666666666666666
65,5,6,10019,HEU,False,3,0.8333333333333334,1402610000.0,1.0,0.6666666666666666
66,5,6,10019,HEU,False,3,0.3333333333333333,1402590000.0,0.0,0.6666666666666666
67,5,6,10019,HEU,False,3,0.5,1402570000.0,0.6666666666666666,0.3333333333333333
68,5,6,10019,HEU,False,3,0.6666666666666666,1402590000.0,0.3333333333333333,1.0
69,5,6,10019,HEU,False,3,0.8333333333333334,1402610000.0,0.6666666666666666,1.0
70,5,6,10019,HEU,False,3,0.6666666666666666,1402570000.0,0.6666666666666666,0.6666666666666666
71,5,6,10019,HEU,False,3,1.0,1402610000.0,1.0,1.0
